model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_AllModels_AutoML_20200630_085522,0.7456787083999,0.493950591152736,0.545691358003336,0.320259839287861,0.402530837750054,0.16203107533976
StackedEnsemble_BestOfFamily_AutoML_20200630_085522,0.744847442676153,0.494577947947038,0.544805609969721,0.320362006452399,0.402809594714814,0.162255569594313
GLM_1_AutoML_20200630_085522,0.738579142748103,0.586712429907448,0.677146639758101,0.364194851379492,0.448665632760595,0.201300850020465
GBM_grid__1_AutoML_20200630_085522_model_1,0.716960959758089,0.609144750372323,0.662533245844635,0.390346839411572,0.459308902771569,0.210964668165223
GBM_grid__1_AutoML_20200630_085522_model_2,0.711863845021314,0.615395081253931,0.657521162158713,0.398798646796543,0.462098054927303,0.213534612367597
DRF_1_AutoML_20200630_085522,0.699984157074273,0.630297019964927,0.644181077139111,0.403794436195604,0.469075683530287,0.220031996879406
GBM_grid__1_AutoML_20200630_085522_model_3,0.699878010364751,0.617873918693544,0.648202463339288,0.403454019284952,0.463370684351248,0.214712391116144
GBM_grid__1_AutoML_20200630_085522_model_4,0.693413226780506,0.628852711845124,0.638272961249443,0.409186030883846,0.4683665036379,0.219367181729991
GBM_4_AutoML_20200630_085522,0.669209328058548,0.640003966503394,0.621319847082141,0.432959048198961,0.473747408369859,0.224436606937158
GBM_3_AutoML_20200630_085522,0.664100969831695,0.641535398086017,0.617531766840031,0.437182066083584,0.474484022412005,0.225135087524276
GBM_5_AutoML_20200630_085522,0.661361435757587,0.646272272801264,0.593034438116718,0.443087729974812,0.47686483318075,0.227400069124504
GBM_1_AutoML_20200630_085522,0.661113415718333,0.642498815100632,0.610873729610912,0.432720492334,0.474988525954188,0.225614099788132
GBM_2_AutoML_20200630_085522,0.6600104695196,0.642623248753145,0.612483830368986,0.432025481383682,0.475043811244158,0.225666622601375
GBM_grid__1_AutoML_20200630_085522_model_5,0.597206310951212,0.667835005433694,0.54736455679987694,0.486385230439188,0.487341423032904,0.237501662603736
XRT_1_AutoML_20200630_085522,0.54062286358542,0.680305862888808,0.46802667990195,0.495045925671054,0.493634339815923,0.243674861445502
DeepLearning_grid__1_AutoML_20200630_085522_model_1,0.537917091868931,9.83007770054503,0.464523527018873,0.5,0.633090623516225,0.400803737584163
DeepLearning_grid__2_AutoML_20200630_085522_model_1,0.530017841754235,4.90980992360688,0.471934086296341,0.5,0.620246730793932,0.38470600706056
DeepLearning_1_AutoML_20200630_085522,0.519400664453912,5.13967005214135,0.447961797894828,0.5,0.639852413365237,0.409411110889319
