model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_BestOfFamily_AutoML_20200708_155846,0.742793844404102,0.497669631487547,0.544131211836286,0.323545744480585,0.403894111625801,0.163130453405995
StackedEnsemble_AllModels_AutoML_20200708_155846,0.741640312066224,0.497376970632481,0.544214362619707,0.325657103552212,0.403778190343307,0.163036826996916
GLM_1_AutoML_20200708_155846,0.73703150790712,0.50019217163521,0.533168296582302,0.326323052344677,0.404668293148046,0.163756427479353
GBM_grid__1_AutoML_20200708_155846_model_2,0.710232276219503,0.525880240831211,0.508937185526485,0.345646734286534,0.416762679689174,0.173691131181701
GBM_grid__1_AutoML_20200708_155846_model_1,0.707448125323729,0.526029210908145,0.505506647692294,0.34689509969162,0.416934301149629,0.17383421147513
DRF_1_AutoML_20200708_155846,0.698347078133251,0.539605636316805,0.488320447194937,0.35499838439402,0.423372183563899,0.179244005815664
XRT_1_AutoML_20200708_155846,0.68987961404485,0.538364492111828,0.478611362150704,0.362240907546458,0.422830350894554,0.178785505637612
GBM_grid__1_AutoML_20200708_155846_model_3,0.660754778358923,0.548681466079949,0.458095623781155,0.424380367307665,0.427446371515066,0.182710400521396
GBM_5_AutoML_20200708_155846,0.65881904859717,0.551416780582838,0.450325384460656,0.431066500326788,0.428748118434908,0.183824949061474
GBM_4_AutoML_20200708_155846,0.657391750349674,0.549509007086066,0.455487502000167,0.425830229065033,0.427724543358348,0.182948284991107
GBM_2_AutoML_20200708_155846,0.653892780063316,0.550240115191648,0.454196299501389,0.428574527113667,0.427992781882,0.183177821343093
GBM_3_AutoML_20200708_155846,0.653669651312651,0.549784427895777,0.457295127490442,0.428515395156764,0.427794985813139,0.183008549886864
GBM_1_AutoML_20200708_155846,0.651637985180353,0.550032631072234,0.449633780282734,0.429265284287533,0.427937905850672,0.183130851263859
DeepLearning_grid__3_AutoML_20200708_155846_model_1,0.643464388805729,11.4551947268851,0.358293163871852,0.393169797248433,0.858585426706041,0.737168934951994
DeepLearning_1_AutoML_20200708_155846,0.600572023877831,2.2999636361565,0.321066055077211,0.425893404341681,0.590996313580654,0.349276642665923
GBM_grid__1_AutoML_20200708_155846_model_4,0.582205001591627,0.572314545534871,0.360247660805123,0.457893142405989,0.438516334607576,0.192296575717664
DeepLearning_grid__2_AutoML_20200708_155846_model_1,0.544668198612917,6.99196763749512,0.285735711665401,0.482937720006179,0.817107580416277,0.667664797973742
DeepLearning_grid__1_AutoML_20200708_155846_model_1,0.537223133202144,8.26402216853221,0.282686694499561,0.5,0.753117072961044,0.56718532558541
